Transaction_ID,Account_Number,Date,Transaction_Type,Amount_INR,Balance_After,Bank,Branch,Channel,Fraud_Flag,Is_International
BNK_00000038,ACCT_335124,2023-06-13,Interest,2892.29,160033.48,HDFC,Branch_16,UPI,0,0
BNK_00000039,ACCT_694338,2022-12-26,Interest,1045.05,95773.28,BOB,Branch_15,RTGS,0,0
BNK_00000040,ACCT_104496,2024-10-31,Deposit,1315.42,96969.46,Kotak,Branch_57,Online,0,0
BNK_00000041,ACCT_129816,2024-03-25,Transfer,3709.1,386787.81,HDFC,Branch_30,NEFT,0,0
BNK_00000042,ACCT_259315,2024-10-22,Transfer,12171.87,316819.53,Kotak,Branch_57,Mobile,0,0
BNK_00000043,ACCT_620904,2023-11-12,Deposit,2571.0,263828.06,Kotak,Branch_70,RTGS,0,1
BNK_00000044,ACCT_404059,2024-05-17,Withdrawal,5258.82,174741.95,SBI,Branch_51,Mobile,1,0
BNK_00000045,ACCT_287456,2024-07-20,Deposit,7905.83,44056.04,Yes_Bank,Branch_77,Mobile,1,0
BNK_00000046,ACCT_204360,2024-02-18,Refund,33.43,455091.58,HDFC,Branch_50,Online,0,0
BNK_00000047,ACCT_790751,2022-10-27,Payment,7206.09,12928.37,Kotak,Branch_34,Online,0,1
BNK_00000048,ACCT_205818,2024-03-05,Deposit,667.61,140974.7,Kotak,Branch_26,NEFT,0,0
BNK_00000049,ACCT_686191,2023-05-10,Payment,1951.71,485541.62,Kotak,Branch_35,Branch,0,0
BNK_00000050,ACCT_917039,2024-11-09,Refund,2175.6,167670.01,ICICI,Branch_27,ATM,1,0
BNK_00000051,ACCT_395849,2023-10-26,Deposit,1995.08,337146.86,PNB,Branch_70,Online,0,0
BNK_00000052,ACCT_997094,2024-02-05,Refund,4792.19,146158.15,BOB,Branch_85,RTGS,0,0
BNK_00000053,ACCT_885192,2024-09-11,Withdrawal,8486.28,59419.96,Kotak,Branch_25,Mobile,0,0
BNK_00000054,ACCT_351196,2023-10-14,Deposit,1838.66,55533.51,BOB,Branch_97,Branch,0,0
BNK_00000055,ACCT_927805,2023-02-22,Withdrawal,2604.18,254365.85,BOB,Branch_74,RTGS,0,0
BNK_00000056,ACCT_664621,2023-08-13,Payment,1189.06,365646.09,BOB,Branch_9,NEFT,0,0
BNK_00000057,ACCT_795547,2023-03-17,Refund,2451.8,6407.79,Yes_Bank,Branch_23,Mobile,0,1
BNK_00000058,ACCT_863161,2024-01-05,Transfer,2912.49,490885.09,HDFC,Branch_35,Online,1,1
BNK_00000059,ACCT_685578,2023-01-04,Payment,12188.49,308747.84,BOB,Branch_70,Branch,0,0
BNK_00000060,ACCT_238287,2023-02-13,Payment,3576.28,342868.24,PNB,Branch_80,Online,0,0
BNK_00000061,ACCT_393700,2023-05-20,Transfer,4458.36,138546.26,BOB,Branch_56,Online,0,1
BNK_00000062,ACCT_643901,2023-03-21,Withdrawal,1905.25,301856.51,Yes_Bank,Branch_79,UPI,0,0
BNK_00000063,ACCT_795127,2023-04-29,Withdrawal,912.79,111103.79,SBI,Branch_35,RTGS,0,0
BNK_00000064,ACCT_111602,2023-10-26,Interest,836.66,242400.17,ICICI,Branch_61,Mobile,0,0
BNK_00000065,ACCT_740487,2022-02-13,Payment,2846.44,424675.43,Kotak,Branch_63,NEFT,0,0
BNK_00000066,ACCT_117828,2024-04-28,Deposit,8626.15,294349.03,Kotak,Branch_78,UPI,0,1
BNK_00000067,ACCT_505732,2023-11-23,Withdrawal,4614.85,237157.79,SBI,Branch_50,NEFT,0,0
BNK_00000068,ACCT_244237,2022-11-08,Refund,3744.34,371678.88,HDFC,Branch_78,RTGS,0,0
BNK_00000069,ACCT_404977,2024-12-01,Refund,4710.3,473626.66,ICICI,Branch_78,RTGS,0,0
BNK_00000070,ACCT_743199,2023-01-09,Transfer,8633.13,356990.49,Axis,Branch_27,Branch,0,0
BNK_00000071,ACCT_576773,2023-03-03,Payment,1097.7,492322.98,Yes_Bank,Branch_88,Branch,0,0
BNK_00000072,ACCT_267460,2023-03-29,Payment,35.24,434446.66,Kotak,Branch_89,NEFT,0,0
BNK_00000073,ACCT_277389,2022-06-28,Payment,1953.01,129268.56,Kotak,Branch_65,Mobile,0,0
BNK_00000074,ACCT_934718,2022-08-19,Deposit,12504.58,115279.66,Axis,Branch_96,Branch,0,0
BNK_00000075,ACCT_536094,2023-09-21,Withdrawal,4393.8,338497.82,Kotak,Branch_31,RTGS,0,0
BNK_00000076,ACCT_186506,2022-10-18,Transfer,2431.64,287772.59,SBI,Branch_54,Branch,0,0
BNK_00000077,ACCT_545815,2024-11-28,Payment,3479.09,121667.99,ICICI,Branch_31,ATM,0,0
BNK_00000078,ACCT_640305,2024-10-25,Interest,4737.85,377625.83,Kotak,Branch_73,Mobile,0,0
BNK_00000079,ACCT_688013,2022-05-29,Withdrawal,14495.56,79779.9,HDFC,Branch_33,Online,0,0
BNK_00000080,ACCT_886935,2023-09-09,Payment,4289.41,499459.15,Axis,Branch_12,Branch,0,1
BNK_00000081,ACCT_943530,2024-07-28,Interest,13466.86,419932.04,BOB,Branch_56,Online,0,0
BNK_00000082,ACCT_872150,2022-12-22,Deposit,7630.49,367358.96,HDFC,Branch_59,Branch,0,0
BNK_00000083,ACCT_557899,2023-03-30,Transfer,12893.66,97702.15,PNB,Branch_40,Branch,0,1
BNK_00000084,ACCT_631659,2024-11-28,Deposit,4026.44,249249.07,HDFC,Branch_34,RTGS,0,0
BNK_00000085,ACCT_936799,2024-06-09,Payment,2717.53,413710.22,Kotak,Branch_60,RTGS,0,0
BNK_00000086,ACCT_111506,2023-09-02,Deposit,1065.61,336020.19,HDFC,Branch_39,Mobile,0,0
BNK_00000087,ACCT_924509,2023-04-09,Withdrawal,10835.0,497106.95,PNB,Branch_32,Online,0,0
BNK_00000088,ACCT_271658,2024-06-17,Refund,465.97,7948.69,Kotak,Branch_10,Online,0,0
BNK_00000089,ACCT_175314,2024-10-04,Refund,2441.95,260404.9,BOB,Branch_70,RTGS,0,1
BNK_00000090,ACCT_972003,2022-11-23,Refund,2167.97,22449.42,PNB,Branch_77,Branch,0,0
BNK_00000091,ACCT_198028,2023-07-06,Interest,1319.2,73704.88,Axis,Branch_7,NEFT,0,0
BNK_00000092,ACCT_444474,2022-07-17,Transfer,313.72,171085.12,ICICI,Branch_55,UPI,0,0
BNK_00000093,ACCT_849065,2022-03-22,Payment,7016.99,55853.12,Axis,Branch_59,Online,0,0
BNK_00000094,ACCT_554449,2023-02-28,Withdrawal,945.09,197527.77,Axis,Branch_12,Online,0,1
BNK_00000095,ACCT_119994,2023-02-27,Refund,1112.57,35092.97,SBI,Branch_14,UPI,0,0
BNK_00000096,ACCT_737816,2023-08-14,Withdrawal,4665.69,213809.25,Yes_Bank,Branch_61,Online,0,0
BNK_00000097,ACCT_871096,2022-05-28,Deposit,8604.84,101097.66,PNB,Branch_23,ATM,0,0
BNK_00000098,ACCT_442833,2023-04-21,Refund,3283.22,181380.97,PNB,Branch_16,NEFT,0,0
BNK_00000099,ACCT_294031,2024-10-02,Payment,4284.51,234685.08,Yes_Bank,Branch_39,RTGS,0,0
BNK_00000100,ACCT_681855,2022-10-08,Withdrawal,4773.62,398212.51,Kotak,Branch_1,Branch,0,1
BNK_00000101,ACCT_468841,2023-11-26,Deposit,5135.63,448932.68,HDFC,Branch_42,ATM,0,0
BNK_00000102,ACCT_765198,2023-09-10,Transfer,438.29,376300.34,Yes_Bank,Branch_6,NEFT,0,1
BNK_00000103,ACCT_717507,2024-11-16,Deposit,10977.5,391080.19,ICICI,Branch_48,UPI,0,0
BNK_00000104,ACCT_639627,2024-06-01,Withdrawal,12101.36,230835.43,Kotak,Branch_6,Mobile,0,0
BNK_00000105,ACCT_710077,2024-06-09,Interest,1148.71,4203.22,BOB,Branch_73,Mobile,1,0
BNK_00000106,ACCT_602353,2024-10-07,Transfer,125.77,319804.5,PNB,Branch_40,NEFT,0,1
BNK_00000107,ACCT_762735,2023-09-16,Withdrawal,6068.12,458932.91,BOB,Branch_82,ATM,0,0
BNK_00000108,ACCT_212542,2023-11-13,Payment,2780.49,277207.98,Kotak,Branch_46,ATM,0,0
BNK_00000109,ACCT_175562,2024-04-07,Interest,2955.31,166971.77,Kotak,Branch_86,Mobile,0,0
BNK_00000110,ACCT_106281,2022-09-28,Transfer,1563.67,80467.63,PNB,Branch_1,RTGS,0,0
BNK_00000111,ACCT_510247,2023-02-20,Refund,4455.37,122416.21,Kotak,Branch_23,UPI,0,0
BNK_00000112,ACCT_732517,2023-01-22,Deposit,12962.19,149430.8,SBI,Branch_18,Online,0,0
BNK_00000113,ACCT_348517,2024-03-22,Payment,4214.17,99877.68,PNB,Branch_60,RTGS,0,1
BNK_00000114,ACCT_912695,2024-09-12,Deposit,5823.73,322129.59,HDFC,Branch_45,Mobile,0,0
BNK_00000115,ACCT_352942,2023-09-14,Payment,5390.88,108051.02,Kotak,Branch_59,Mobile,0,1
BNK_00000116,ACCT_344095,2023-05-05,Refund,472.32,463409.87,SBI,Branch_87,Branch,0,0
BNK_00000117,ACCT_195698,2022-05-31,Transfer,14469.19,419556.58,BOB,Branch_49,UPI,0,0
BNK_00000118,ACCT_644920,2024-07-28,Transfer,19718.65,347755.96,Kotak,Branch_78,Online,1,0
BNK_00000119,ACCT_387201,2023-04-13,Payment,4745.98,334883.7,BOB,Branch_43,UPI,0,0
BNK_00000120,ACCT_665909,2023-12-10,Transfer,1031.37,7227.66,PNB,Branch_81,Branch,0,0
BNK_00000121,ACCT_497365,2024-09-29,Transfer,547.21,340285.82,Yes_Bank,Branch_86,Branch,1,0
BNK_00000122,ACCT_470161,2024-07-08,Interest,8595.34,474608.72,ICICI,Branch_96,Online,0,0
BNK_00000123,ACCT_785247,2022-09-23,Withdrawal,7401.19,316836.93,SBI,Branch_51,Online,0,0
BNK_00000124,ACCT_160394,2024-05-10,Refund,8349.27,69112.95,HDFC,Branch_88,Online,0,0
BNK_00000125,ACCT_224196,2024-04-25,Deposit,4676.09,271646.25,Axis,Branch_70,UPI,0,0
BNK_00000126,ACCT_942207,2022-12-31,Refund,444.4,215976.16,Yes_Bank,Branch_38,NEFT,0,0
BNK_00000127,ACCT_206335,2023-04-29,Refund,12524.95,386754.42,PNB,Branch_24,Mobile,0,1
BNK_00000128,ACCT_637583,2024-01-23,Withdrawal,6801.86,481338.41,Yes_Bank,Branch_94,Branch,0,1
BNK_00000129,ACCT_912865,2024-10-12,Payment,1647.23,308311.91,Yes_Bank,Branch_93,RTGS,0,0
BNK_00000130,ACCT_383517,2022-06-01,Payment,7636.16,268675.77,ICICI,Branch_38,Mobile,0,0
BNK_00000131,ACCT_276383,2022-02-10,Deposit,3315.79,406653.49,ICICI,Branch_61,Online,0,0
BNK_00000132,ACCT_433205,2022-01-30,Transfer,222.72,227095.08,BOB,Branch_82,ATM,0,0
BNK_00000133,ACCT_981611,2024-07-27,Deposit,19329.22,59408.91,Axis,Branch_9,Branch,0,0
BNK_00000134,ACCT_488475,2023-10-10,Transfer,1429.57,215383.85,ICICI,Branch_56,Branch,0,0
BNK_00000135,ACCT_489438,2024-10-16,Transfer,3721.94,80111.56,Axis,Branch_95,Online,0,0
BNK_00000136,ACCT_896127,2022-08-23,Payment,5278.75,337388.53,HDFC,Branch_4,RTGS,0,0
BNK_00000137,ACCT_898818,2022-01-13,Refund,1794.44,224839.82,SBI,Branch_9,Online,0,0
BNK_00000138,ACCT_995956,2024-04-25,Interest,1257.21,53566.11,BOB,Branch_75,Online,0,0
BNK_00000139,ACCT_394235,2023-12-13,Deposit,2811.55,258912.21,SBI,Branch_97,Branch,0,0
BNK_00000140,ACCT_546576,2022-06-11,Refund,5285.86,350953.92,Kotak,Branch_66,ATM,0,0
BNK_00000141,ACCT_544879,2022-09-26,Withdrawal,3462.04,55276.52,PNB,Branch_1,UPI,0,0
BNK_00000142,ACCT_433626,2024-03-27,Interest,8179.17,184484.23,Kotak,Branch_34,Branch,0,0
BNK_00000143,ACCT_948069,2022-06-10,Interest,7774.58,15704.17,Yes_Bank,Branch_56,Mobile,0,0
BNK_00000144,ACCT_502858,2023-08-14,Payment,106.34,214255.41,BOB,Branch_93,Branch,0,0
BNK_00000145,ACCT_138916,2022-12-11,Payment,7711.16,432092.63,HDFC,Branch_5,Branch,0,0
BNK_00000146,ACCT_327965,2022-05-31,Deposit,5294.82,11366.77,Yes_Bank,Branch_100,Mobile,0,0
BNK_00000147,ACCT_878729,2023-06-03,Transfer,2630.96,100580.88,ICICI,Branch_4,Mobile,0,1
BNK_00000148,ACCT_546718,2023-05-08,Refund,3574.07,5761.18,Yes_Bank,Branch_18,NEFT,0,1
BNK_00000149,ACCT_413876,2024-01-04,Deposit,6279.72,347304.57,Axis,Branch_64,UPI,0,0
BNK_00000150,ACCT_633006,2024-04-29,Withdrawal,4181.57,485955.59,HDFC,Branch_46,Online,1,0
BNK_00000151,ACCT_795884,2023-06-25,Payment,2161.8,31004.66,SBI,Branch_54,Branch,0,0
BNK_00000152,ACCT_835096,2023-06-28,Refund,16151.79,33715.52,BOB,Branch_59,NEFT,0,0
BNK_00000153,ACCT_797389,2023-10-12,Transfer,2299.17,63916.4,ICICI,Branch_49,Mobile,1,0
BNK_00000154,ACCT_791586,2024-03-04,Refund,7662.76,478829.1,PNB,Branch_14,Online,0,0
BNK_00000155,ACCT_648070,2022-02-04,Interest,4816.18,93764.45,Yes_Bank,Branch_92,Branch,1,0
BNK_00000156,ACCT_634294,2024-02-19,Payment,3839.48,465581.58,BOB,Branch_55,NEFT,0,1
BNK_00000157,ACCT_362351,2022-03-23,Interest,6874.28,413205.07,BOB,Branch_49,ATM,0,1
BNK_00000158,ACCT_943565,2022-11-11,Transfer,2867.24,331864.58,HDFC,Branch_51,UPI,0,1
BNK_00000159,ACCT_566083,2024-09-06,Refund,69.34,346874.04,SBI,Branch_59,RTGS,0,0
BNK_00000160,ACCT_794885,2023-06-23,Transfer,281.51,175262.23,PNB,Branch_38,UPI,0,0
BNK_00000161,ACCT_521886,2024-11-16,Withdrawal,17077.53,290396.62,Kotak,Branch_81,NEFT,0,1
BNK_00000162,ACCT_883783,2022-01-31,Deposit,2287.95,303160.47,SBI,Branch_89,NEFT,0,0
BNK_00000163,ACCT_167730,2024-12-05,Deposit,882.52,53919.43,BOB,Branch_23,Branch,0,0
BNK_00000164,ACCT_639899,2024-11-17,Deposit,455.97,38439.56,Yes_Bank,Branch_31,ATM,0,0
BNK_00000165,ACCT_818033,2023-12-26,Deposit,4888.53,373147.74,ICICI,Branch_33,ATM,0,0
BNK_00000166,ACCT_987976,2022-05-19,Deposit,4376.99,437468.51,PNB,Branch_5,Branch,0,0
BNK_00000167,ACCT_759312,2022-02-15,Withdrawal,166.12,124742.54,ICICI,Branch_58,UPI,0,0
BNK_00000168,ACCT_765732,2023-08-15,Deposit,4742.05,153741.18,BOB,Branch_86,NEFT,1,0
BNK_00000169,ACCT_145717,2023-03-03,Interest,7521.85,154085.92,Axis,Branch_72,Mobile,0,0
BNK_00000170,ACCT_791674,2023-07-17,Refund,853.17,56992.8,PNB,Branch_66,Mobile,0,0
BNK_00000171,ACCT_741725,2023-03-27,Withdrawal,4254.44,299143.16,Kotak,Branch_8,Online,0,0
BNK_00000172,ACCT_512388,2024-08-31,Withdrawal,7191.17,498972.91,ICICI,Branch_90,RTGS,0,0
BNK_00000173,ACCT_807341,2023-03-12,Transfer,352.6,78525.53,Kotak,Branch_56,UPI,1,1
BNK_00000174,ACCT_943522,2022-02-14,Interest,1403.35,122478.86,ICICI,Branch_65,Mobile,0,0
BNK_00000175,ACCT_243915,2022-05-15,Interest,1972.83,43875.27,BOB,Branch_59,NEFT,0,0
BNK_00000176,ACCT_762741,2023-08-11,Payment,12700.9,192798.91,Kotak,Branch_17,ATM,0,0
BNK_00000177,ACCT_820148,2023-07-16,Refund,3006.74,492211.69,PNB,Branch_15,UPI,0,0
BNK_00000178,ACCT_659595,2024-05-14,Refund,2780.28,193684.04,Axis,Branch_22,UPI,0,0
BNK_00000179,ACCT_769004,2022-08-18,Refund,6177.28,452304.45,BOB,Branch_65,UPI,0,0
BNK_00000180,ACCT_639351,2024-05-27,Interest,8630.5,454629.11,Yes_Bank,Branch_36,RTGS,0,0
BNK_00000181,ACCT_497127,2023-07-18,Refund,2257.99,51408.23,Kotak,Branch_82,Mobile,0,0
BNK_00000182,ACCT_693198,2022-07-27,Refund,15971.53,32249.2,Yes_Bank,Branch_86,Mobile,1,0
BNK_00000183,ACCT_953137,2024-09-17,Interest,1617.51,435818.22,HDFC,Branch_15,RTGS,0,0
BNK_00000184,ACCT_133471,2024-02-29,Payment,103.91,325078.5,ICICI,Branch_17,Branch,0,0
BNK_00000185,ACCT_636534,2022-02-17,Payment,8049.28,259134.12,SBI,Branch_91,RTGS,0,0
BNK_00000186,ACCT_493947,2023-08-04,Deposit,11287.5,63315.75,Yes_Bank,Branch_19,Mobile,0,0
BNK_00000187,ACCT_507052,2024-04-20,Withdrawal,3294.53,240539.18,SBI,Branch_46,ATM,0,0
BNK_00000188,ACCT_794797,2023-05-24,Deposit,6353.16,52905.44,BOB,Branch_85,UPI,0,0
BNK_00000189,ACCT_656387,2022-09-24,Payment,3650.96,192038.68,Kotak,Branch_98,RTGS,0,0
BNK_00000190,ACCT_167579,2024-01-11,Withdrawal,6928.47,410755.32,SBI,Branch_78,Online,0,0
BNK_00000191,ACCT_714672,2023-04-12,Payment,6753.92,433833.15,SBI,Branch_61,NEFT,0,0
BNK_00000192,ACCT_145870,2022-07-27,Deposit,2968.4,378741.33,PNB,Branch_59,UPI,0,0
BNK_00000193,ACCT_864468,2024-05-06,Withdrawal,19753.39,126523.47,Yes_Bank,Branch_100,UPI,0,0
BNK_00000194,ACCT_779444,2023-12-21,Payment,6632.09,28257.27,Axis,Branch_86,ATM,0,0
BNK_00000195,ACCT_159049,2024-05-25,Payment,1393.04,215988.43,Yes_Bank,Branch_32,UPI,0,0
BNK_00000196,ACCT_892615,2024-02-08,Withdrawal,1532.52,259828.61,HDFC,Branch_87,Mobile,0,0
BNK_00000197,ACCT_334094,2022-11-26,Transfer,963.96,195115.37,BOB,Branch_89,Branch,0,0
BNK_00000198,ACCT_400112,2024-11-03,Interest,19516.01,490798.96,PNB,Branch_93,Branch,1,0
BNK_00000199,ACCT_731045,2023-01-29,Payment,2662.5,255501.6,HDFC,Branch_36,Online,1,0
BNK_00000200,ACCT_463572,2023-11-29,Withdrawal,9944.96,46708.93,ICICI,Branch_9,NEFT,0,1
BNK_00000201,ACCT_649268,2024-06-10,Refund,7086.61,445890.43,Yes_Bank,Branch_64,ATM,0,0
BNK_00000202,ACCT_776008,2022-04-20,Withdrawal,4362.23,432947.21,Axis,Branch_47,NEFT,0,0
BNK_00000203,ACCT_397038,2024-12-30,Interest,6826.61,220685.62,ICICI,Branch_48,Branch,0,0
BNK_00000204,ACCT_999421,2023-11-12,Payment,26115.43,418161.04,Kotak,Branch_37,RTGS,0,0
BNK_00000205,ACCT_217970,2023-02-16,Transfer,1510.17,396522.29,Kotak,Branch_20,NEFT,0,1
BNK_00000206,ACCT_100106,2022-02-04,Payment,15446.44,20194.08,BOB,Branch_48,RTGS,0,0
BNK_00000207,ACCT_476257,2024-03-06,Payment,4905.56,157811.66,ICICI,Branch_37,Online,0,0
BNK_00000208,ACCT_886379,2022-07-21,Interest,5879.1,190470.54,PNB,Branch_78,ATM,0,0
BNK_00000209,ACCT_931440,2024-03-07,Payment,6420.58,315829.9,BOB,Branch_63,UPI,0,0
BNK_00000210,ACCT_407216,2024-06-22,Refund,178.22,64001.12,Kotak,Branch_46,Mobile,0,0
BNK_00000211,ACCT_428539,2022-04-21,Interest,177.22,55911.44,BOB,Branch_90,Online,1,0
BNK_00000212,ACCT_213228,2023-02-05,Transfer,6284.0,260571.39,PNB,Branch_38,Branch,0,1
BNK_00000213,ACCT_810218,2022-06-01,Deposit,3424.38,245458.68,SBI,Branch_97,NEFT,0,1
BNK_00000214,ACCT_545229,2024-01-31,Refund,5240.53,398818.99,SBI,Branch_52,Mobile,1,0
BNK_00000215,ACCT_783685,2023-02-04,Deposit,2152.71,245805.78,Yes_Bank,Branch_12,RTGS,0,0
BNK_00000216,ACCT_761799,2023-01-24,Deposit,280.02,46518.08,Yes_Bank,Branch_48,NEFT,1,0
BNK_00000217,ACCT_857765,2022-03-12,Transfer,3101.87,479645.25,ICICI,Branch_85,UPI,0,0
BNK_00000218,ACCT_821773,2022-09-04,Payment,7348.08,405833.03,HDFC,Branch_34,NEFT,1,0
BNK_00000219,ACCT_411987,2022-07-11,Deposit,4220.44,311030.15,BOB,Branch_100,UPI,0,0
BNK_00000220,ACCT_892731,2024-12-05,Refund,8419.13,431195.8,Axis,Branch_47,Online,0,0
BNK_00000221,ACCT_984044,2023-06-10,Refund,1406.84,134101.86,Kotak,Branch_78,ATM,1,0
BNK_00000222,ACCT_582964,2022-05-31,Interest,10523.31,84978.79,HDFC,Branch_72,Mobile,0,0
BNK_00000223,ACCT_498012,2023-12-07,Withdrawal,9031.74,105054.16,SBI,Branch_86,Mobile,1,0
BNK_00000224,ACCT_969851,2023-09-09,Interest,1259.15,269239.67,PNB,Branch_99,NEFT,0,1
BNK_00000225,ACCT_943235,2022-11-09,Deposit,2823.83,97572.16,HDFC,Branch_99,Branch,0,0
BNK_00000226,ACCT_373000,2024-05-11,Deposit,2383.54,428289.49,PNB,Branch_40,Mobile,1,0
BNK_00000227,ACCT_566620,2022-02-23,Withdrawal,9240.48,25472.04,BOB,Branch_6,NEFT,0,0
BNK_00000228,ACCT_333719,2022-11-30,Payment,13992.31,444072.54,Kotak,Branch_63,Branch,0,0
BNK_00000229,ACCT_854826,2022-11-05,Interest,1027.15,78926.6,HDFC,Branch_14,ATM,0,0
BNK_00000230,ACCT_441272,2023-10-28,Transfer,6668.27,484504.27,PNB,Branch_5,Online,0,0
BNK_00000231,ACCT_795312,2022-12-03,Refund,243.44,382811.67,BOB,Branch_52,RTGS,0,1
BNK_00000232,ACCT_871701,2024-01-12,Refund,1888.98,148614.59,Axis,Branch_98,NEFT,0,0
BNK_00000233,ACCT_885433,2023-03-16,Withdrawal,7049.05,436147.29,Axis,Branch_24,Branch,0,0
BNK_00000234,ACCT_992191,2022-02-04,Deposit,15432.25,61220.69,Kotak,Branch_80,Online,0,1
BNK_00000235,ACCT_124506,2023-09-18,Deposit,380.98,269806.77,PNB,Branch_65,UPI,0,0
BNK_00000236,ACCT_615350,2024-08-03,Withdrawal,143.8,235604.19,ICICI,Branch_69,RTGS,0,1
BNK_00000237,ACCT_503408,2024-05-24,Refund,6839.68,229010.69,SBI,Branch_13,Online,0,0
BNK_00000238,ACCT_201491,2024-11-14,Deposit,8388.77,275671.83,PNB,Branch_56,UPI,0,0
BNK_00000239,ACCT_854211,2023-09-24,Deposit,11770.15,433118.77,Kotak,Branch_34,NEFT,0,0
BNK_00000240,ACCT_740702,2023-03-25,Interest,1326.74,18692.15,Kotak,Branch_72,RTGS,0,0
BNK_00000241,ACCT_725335,2022-09-18,Interest,1704.56,362840.84,BOB,Branch_76,ATM,0,0
BNK_00000242,ACCT_885844,2022-02-28,Interest,2575.04,279516.02,BOB,Branch_58,NEFT,0,0
BNK_00000243,ACCT_979467,2022-07-27,Payment,22641.44,461240.96,BOB,Branch_18,Branch,0,1
