Date,City,Temperature_C,Humidity_Percent,Wind_Speed_Kmh,Precipitation_mm,Weather_Condition,AQI
2020-12-28,Delhi,21.3,58.4,12.3,0.0,Hazy,154
2022-08-08,Lucknow,25.9,49.6,8.9,0.0,Foggy,137
2023-10-26,Lucknow,22.5,77.8,19.5,0.0,Foggy,145
2023-07-25,Bhopal,28.7,67.0,6.1,0.0,Rainy,56
2023-07-08,Nagpur,20.6,71.1,8.1,0.0,Stormy,98
2022-08-18,Delhi,27.1,43.2,7.5,0.0,Rainy,116
2021-07-16,Indore,23.5,56.1,4.8,0.0,Rainy,90
2020-05-31,Pune,36.3,51.1,4.3,0.0,Stormy,147
2020-04-26,Mumbai,30.6,64.3,3.4,0.0,Rainy,41
2023-08-13,Delhi,17.3,68.6,15.1,0.0,Sunny,123
2023-05-01,Ahmedabad,37.7,51.2,8.4,0.0,Stormy,105
2023-02-09,Ahmedabad,16.9,70.0,6.8,0.0,Hazy,30
2020-03-25,Surat,16.1,69.6,7.4,0.0,Foggy,41
2021-01-20,Bhopal,14.9,99.1,4.4,0.0,Stormy,136
2020-11-04,Pune,27.1,86.8,9.4,0.0,Stormy,21
2024-07-18,Delhi,30.0,55.0,16.4,0.0,Rainy,140
2020-06-21,Patna,33.0,100.0,11.4,0.0,Cloudy,172
2021-05-22,Mumbai,26.0,70.8,7.5,0.0,Stormy,123
2022-12-06,Pune,19.9,20.0,6.9,0.0,Rainy,111
2021-08-02,Kolkata,13.7,58.1,15.0,0.0,Rainy,165
2023-05-09,Bhopal,24.1,87.3,16.0,5.56,Hazy,10
2021-11-16,Bhopal,27.0,94.4,6.9,2.62,Sunny,164
2023-10-21,Pune,17.0,47.0,17.9,0.0,Rainy,146
2024-10-10,Patna,36.6,31.1,15.2,0.0,Foggy,137
2020-11-03,Nagpur,23.6,75.5,10.7,0.0,Foggy,123
2020-10-16,Bhopal,28.4,79.6,10.4,0.0,Rainy,188
2023-12-01,Bhopal,16.9,97.7,4.4,0.0,Cloudy,50
2023-12-22,Ahmedabad,13.4,79.1,6.0,0.0,Rainy,174
2022-02-10,Pune,15.4,68.0,13.2,0.0,Rainy,49
2020-09-18,Nagpur,18.0,65.7,8.6,0.0,Hazy,124
2022-12-14,Bhopal,11.3,52.9,9.1,0.7,Hazy,10
2022-11-07,Jaipur,22.3,87.5,5.7,0.0,Rainy,133
2021-01-04,Hyderabad,21.3,86.7,9.1,0.0,Rainy,165
2022-09-22,Indore,27.8,82.8,22.0,0.14,Cloudy,93
2020-06-07,Bangalore,29.9,96.5,0.7,1.81,Sunny,111
2024-04-27,Pune,23.6,83.2,4.3,0.0,Hazy,69
2022-12-14,Surat,14.8,58.5,11.3,1.25,Rainy,10
2024-04-18,Surat,28.4,20.0,11.2,0.0,Foggy,89
2020-11-11,Jaipur,18.4,66.2,5.3,0.48,Hazy,109
2023-07-03,Indore,20.3,43.9,13.4,0.0,Cloudy,99
2022-06-15,Patna,37.8,46.5,13.8,0.07,Rainy,119
2024-01-13,Bhopal,24.8,50.9,4.9,1.41,Stormy,140
2021-08-06,Ahmedabad,25.4,54.6,19.7,0.0,Stormy,131
2022-12-29,Chennai,19.0,69.3,4.9,3.86,Stormy,69
2024-09-06,Surat,22.7,51.9,10.2,0.27,Hazy,27
2022-06-21,Ahmedabad,28.8,68.6,6.5,0.0,Rainy,118
2022-02-21,Indore,12.8,55.6,11.5,0.0,Stormy,87
2024-07-30,Bangalore,17.2,31.1,11.1,4.35,Foggy,128
2024-11-22,Bangalore,21.6,68.0,6.0,2.44,Hazy,84
2024-11-25,Lucknow,27.6,65.9,18.4,0.0,Sunny,168
2024-09-28,Patna,24.5,51.6,17.8,0.0,Sunny,127
2020-06-20,Hyderabad,27.1,20.2,6.2,0.0,Rainy,58
2022-11-17,Lucknow,24.3,72.4,13.9,0.67,Stormy,175
2021-03-30,Delhi,31.5,85.6,5.7,0.0,Rainy,109
2020-02-24,Surat,22.2,66.0,17.2,0.0,Stormy,79
2022-02-04,Pune,17.6,64.7,14.2,0.35,Sunny,90
2021-04-04,Kolkata,29.6,46.5,1.8,0.12,Sunny,161
2024-01-03,Nagpur,22.8,98.6,13.2,0.0,Cloudy,60
2020-03-19,Bangalore,26.0,79.2,5.9,4.34,Stormy,46
2024-08-29,Patna,30.2,43.0,16.5,9.26,Hazy,106
2022-07-07,Lucknow,18.2,46.1,11.4,0.0,Sunny,154
2021-06-08,Mumbai,29.5,67.5,15.0,0.1,Cloudy,179
2024-01-29,Pune,16.9,80.3,8.1,0.0,Stormy,102
2024-05-08,Delhi,39.5,85.7,4.8,0.5,Rainy,145
2020-04-07,Delhi,24.5,66.2,7.6,0.96,Hazy,10
2023-06-29,Indore,25.5,38.0,10.0,0.0,Sunny,10
2022-10-20,Nagpur,25.2,60.3,13.4,0.0,Sunny,19
2022-11-21,Bhopal,35.7,95.1,6.1,0.0,Hazy,172
2021-08-19,Bangalore,29.3,51.2,7.0,0.0,Foggy,73
2021-05-07,Kolkata,42.1,87.2,9.0,0.0,Cloudy,94
2023-09-30,Bhopal,29.2,76.1,5.2,1.95,Rainy,114
2022-12-13,Delhi,27.6,56.5,10.2,0.0,Foggy,67
2020-02-11,Pune,12.6,40.1,3.9,0.0,Stormy,10
2023-07-25,Mumbai,24.2,82.0,5.1,0.0,Rainy,227
2024-03-10,Hyderabad,31.9,59.6,4.4,2.82,Sunny,20
2021-05-08,Kolkata,37.4,27.7,5.9,0.0,Hazy,144
2024-04-29,Delhi,31.7,59.8,4.4,0.0,Rainy,43
2020-03-31,Bangalore,21.4,38.4,10.7,0.0,Rainy,95
2023-08-09,Nagpur,19.2,52.9,3.2,0.49,Hazy,116
2023-11-25,Lucknow,29.2,88.1,2.0,0.0,Cloudy,118
2020-10-03,Indore,23.0,53.5,4.7,1.08,Stormy,88
2021-08-23,Mumbai,27.1,41.3,11.3,2.28,Cloudy,172
2020-03-26,Surat,25.9,71.1,6.1,0.0,Rainy,10
2022-03-26,Pune,29.0,24.1,15.6,0.0,Foggy,137
2021-06-02,Lucknow,23.8,51.3,9.9,3.42,Hazy,53
2021-08-08,Chennai,23.3,40.1,13.5,0.0,Sunny,78
2023-09-04,Nagpur,22.7,59.8,5.9,0.0,Sunny,176
2022-01-23,Indore,22.8,61.5,5.7,0.0,Stormy,60
2022-06-19,Patna,23.8,35.4,11.6,0.0,Stormy,67
2021-01-17,Kolkata,14.5,43.7,15.0,0.0,Stormy,62
2024-06-20,Kolkata,34.3,54.2,3.8,0.0,Sunny,123
2022-05-19,Patna,32.4,42.8,10.3,3.8,Foggy,115
2021-01-04,Nagpur,9.7,89.1,8.3,0.0,Rainy,132
2020-06-12,Delhi,33.3,20.0,12.3,0.0,Rainy,87
2022-07-02,Hyderabad,12.9,37.3,7.7,0.0,Stormy,142
2023-11-13,Bangalore,24.1,63.0,8.2,0.0,Stormy,154
2024-01-28,Mumbai,20.6,63.3,4.3,0.0,Rainy,105
2022-06-09,Ahmedabad,41.9,75.9,6.3,0.25,Sunny,192
2023-10-06,Delhi,26.3,51.9,8.6,0.0,Rainy,96
2024-06-28,Pune,31.9,70.6,6.9,0.0,Cloudy,129
2020-10-19,Mumbai,33.6,29.7,7.8,0.0,Hazy,74
2022-06-16,Indore,28.4,23.5,16.8,2.8,Sunny,102
2024-05-13,Chennai,23.9,36.3,8.3,0.0,Rainy,100
2023-03-07,Jaipur,28.6,23.4,20.7,1.5,Cloudy,112
2022-07-10,Bhopal,21.6,47.6,8.8,0.0,Rainy,121
2024-04-11,Lucknow,24.8,27.8,10.1,2.19,Cloudy,42
2022-01-21,Pune,21.5,78.8,9.3,0.0,Hazy,41
2021-05-26,Hyderabad,20.0,52.3,15.7,0.0,Sunny,146
2021-01-16,Patna,19.3,67.8,9.3,0.0,Stormy,75
2023-02-24,Surat,14.3,30.6,19.0,2.42,Rainy,108
2022-07-02,Patna,31.2,20.0,19.7,0.1,Foggy,108
2023-11-22,Hyderabad,28.3,93.2,10.3,0.0,Stormy,50
2020-09-08,Chennai,21.2,83.5,13.1,0.48,Sunny,91
2020-12-19,Lucknow,16.5,45.1,13.5,0.0,Stormy,168
2024-07-17,Delhi,27.3,58.3,9.3,0.0,Rainy,103
2021-12-12,Bhopal,12.2,72.0,4.6,0.0,Foggy,155
2021-08-17,Pune,23.2,76.6,2.6,0.0,Cloudy,141
2023-12-24,Patna,24.8,34.4,9.4,0.0,Hazy,116
2024-06-13,Bangalore,29.9,53.2,7.4,0.0,Cloudy,112
2021-02-15,Delhi,19.8,47.5,5.9,0.0,Cloudy,160
2022-10-08,Indore,25.5,20.0,16.1,7.36,Foggy,70
2022-01-25,Ahmedabad,11.2,100.0,13.3,0.0,Foggy,40
2023-06-07,Bangalore,33.7,82.7,16.1,0.0,Sunny,59
2022-03-26,Hyderabad,28.6,84.7,17.9,0.0,Hazy,23
2022-12-12,Lucknow,16.9,43.1,19.3,0.0,Stormy,124
2023-03-23,Nagpur,29.5,69.5,11.9,1.71,Rainy,56
2020-05-31,Bhopal,26.5,56.8,9.0,0.0,Hazy,96
2021-12-06,Pune,10.8,65.3,12.5,1.4,Foggy,87
2023-04-18,Bhopal,31.3,29.5,14.3,7.92,Cloudy,132
2022-10-26,Jaipur,25.6,64.3,4.7,0.0,Sunny,163
2020-09-11,Nagpur,25.9,41.7,12.9,0.0,Rainy,104
2020-11-27,Bangalore,34.2,48.9,3.8,0.0,Hazy,114
2021-12-09,Chennai,23.1,100.0,27.1,0.0,Foggy,22
2021-08-04,Surat,24.3,35.1,8.8,0.0,Rainy,223
2023-07-24,Chennai,20.9,59.6,7.1,0.0,Rainy,49
2023-07-04,Bangalore,34.0,29.2,9.6,0.0,Foggy,104
2022-10-26,Delhi,24.8,53.7,18.1,0.0,Foggy,10
2020-11-11,Ahmedabad,27.2,69.6,11.4,2.23,Foggy,58
2023-05-24,Patna,22.2,77.6,12.8,0.0,Foggy,10
2024-08-17,Mumbai,18.2,100.0,5.4,0.0,Sunny,120
2023-08-06,Mumbai,24.0,63.7,9.4,0.0,Rainy,148
2021-03-07,Bhopal,29.7,62.4,5.5,0.0,Stormy,71
2023-08-01,Ahmedabad,17.1,53.3,1.2,4.0,Hazy,110
2021-08-16,Pune,22.1,80.9,5.0,0.0,Rainy,22
2021-05-16,Lucknow,23.4,100.0,5.0,0.0,Hazy,118
2021-09-01,Jaipur,29.2,41.2,5.3,0.0,Hazy,109
2020-11-19,Mumbai,26.1,87.0,6.2,0.0,Stormy,81
2021-02-21,Lucknow,32.2,24.1,0.0,0.0,Cloudy,30
2024-10-30,Kolkata,30.5,51.2,7.8,0.0,Hazy,51
2021-12-08,Nagpur,22.6,32.6,7.1,0.0,Cloudy,53
2022-01-28,Indore,4.6,50.4,9.7,0.0,Sunny,61
2021-05-10,Kolkata,26.7,55.1,9.3,0.0,Rainy,47
2021-05-22,Lucknow,22.4,60.9,2.6,1.36,Sunny,89
2022-02-25,Hyderabad,18.7,92.5,5.1,0.0,Stormy,58
2024-11-07,Chennai,22.7,66.4,4.9,0.0,Rainy,80
2023-03-29,Surat,21.7,50.7,11.7,0.0,Cloudy,127
2020-11-22,Indore,17.6,66.5,25.7,0.0,Foggy,177
2022-10-18,Lucknow,21.8,62.6,9.8,0.0,Stormy,122
2020-07-03,Mumbai,22.9,54.6,6.3,0.0,Foggy,154
2021-05-08,Lucknow,29.6,66.4,16.1,2.41,Rainy,161
2020-04-13,Mumbai,22.9,91.5,13.3,0.81,Foggy,115
2024-09-22,Surat,20.6,52.7,11.0,0.0,Stormy,88
2023-01-04,Hyderabad,18.3,37.1,9.8,1.23,Sunny,106
2020-10-01,Jaipur,28.8,73.3,9.9,0.0,Hazy,45
2024-04-13,Kolkata,37.1,53.2,11.2,0.0,Sunny,64
2020-04-14,Jaipur,21.3,71.8,2.5,0.0,Cloudy,111
2023-02-07,Kolkata,19.2,37.6,3.5,0.62,Stormy,61
2022-07-11,Pune,33.1,44.6,10.3,0.0,Rainy,148
2023-06-30,Nagpur,29.0,38.3,14.9,0.0,Sunny,117
2020-07-17,Bangalore,14.1,84.9,14.4,0.0,Rainy,116
2022-01-18,Pune,26.2,77.0,15.6,0.0,Cloudy,151
2022-11-08,Ahmedabad,28.8,24.2,1.6,0.0,Sunny,142
2020-03-20,Mumbai,31.2,45.9,4.4,3.64,Rainy,113
2022-08-28,Indore,24.5,80.4,8.4,0.0,Cloudy,124
2022-11-21,Ahmedabad,24.3,42.2,5.2,1.44,Foggy,126
2020-11-28,Kolkata,29.7,56.4,15.9,0.0,Foggy,10
2024-09-21,Patna,24.7,62.6,14.6,0.65,Rainy,67
2024-08-23,Pune,33.8,66.6,7.1,0.0,Stormy,75
2023-02-26,Patna,15.8,80.8,7.7,0.98,Sunny,97
2021-11-09,Kolkata,28.2,70.8,15.4,0.0,Stormy,155
2021-09-22,Ahmedabad,40.8,70.3,5.7,0.0,Hazy,141
2023-11-10,Nagpur,33.0,69.5,0.6,0.0,Foggy,127
2021-06-27,Lucknow,24.9,33.6,10.9,0.0,Foggy,23
2021-04-11,Ahmedabad,33.1,74.6,9.6,0.0,Foggy,72
2020-12-15,Lucknow,17.1,39.8,9.6,0.0,Hazy,10
2024-05-05,Ahmedabad,28.4,62.3,14.2,0.0,Cloudy,114
2023-10-26,Nagpur,29.9,70.9,15.2,2.58,Foggy,231
2020-08-13,Patna,25.8,66.4,9.5,3.32,Stormy,79
2022-05-07,Kolkata,27.4,68.4,10.4,0.26,Hazy,103
2022-04-20,Chennai,25.7,78.0,14.9,0.0,Foggy,216
2022-08-23,Surat,31.1,76.5,14.9,0.0,Hazy,92
2020-05-07,Patna,30.8,72.2,7.3,0.0,Foggy,97
2023-02-22,Chennai,22.8,59.6,13.1,0.0,Hazy,144
2022-12-12,Lucknow,22.3,94.6,7.1,0.0,Cloudy,182
2022-12-27,Lucknow,20.4,76.7,13.5,0.0,Rainy,132
2024-04-30,Bhopal,24.8,75.9,2.8,0.0,Hazy,204
2024-07-03,Bhopal,26.9,83.2,13.4,0.0,Foggy,101
2021-01-28,Lucknow,15.3,45.4,13.9,0.0,Rainy,136
2021-09-03,Pune,27.8,57.6,12.1,0.82,Rainy,78
2021-08-14,Indore,25.6,56.7,7.5,0.0,Hazy,10
2022-09-28,Patna,27.7,39.0,2.9,0.0,Rainy,112
2024-06-16,Pune,33.1,26.1,15.0,0.0,Rainy,54
2023-03-20,Delhi,28.2,71.6,9.0,0.0,Stormy,101
2022-03-19,Surat,23.0,65.3,11.3,0.0,Cloudy,53
2020-03-27,Hyderabad,18.2,80.2,11.0,0.47,Hazy,143
2021-12-10,Delhi,15.7,27.7,5.6,0.0,Hazy,184
2024-03-10,Hyderabad,22.2,66.5,4.6,0.0,Cloudy,205
2023-01-08,Nagpur,18.3,46.3,14.4,0.29,Foggy,202
2021-07-10,Patna,24.7,23.0,4.4,0.02,Foggy,123
2023-04-16,Patna,26.8,20.0,9.8,0.83,Sunny,32
2022-12-23,Bhopal,7.7,47.9,7.8,0.37,Cloudy,106
2020-07-24,Mumbai,15.3,41.8,16.2,0.0,Hazy,77
2020-07-24,Lucknow,23.4,69.6,9.2,0.0,Cloudy,161
2023-02-01,Mumbai,16.8,55.5,21.3,0.0,Cloudy,102
2023-08-30,Jaipur,26.2,55.8,2.1,0.0,Stormy,143
2023-08-25,Lucknow,33.3,85.1,7.2,3.83,Rainy,91
2021-08-07,Kolkata,26.8,80.3,13.6,0.0,Sunny,156
2023-03-21,Bhopal,25.3,47.4,19.7,0.16,Hazy,107
2024-10-07,Patna,23.2,66.2,14.9,0.0,Cloudy,89
2024-12-11,Jaipur,7.8,80.6,10.7,0.0,Sunny,82
2022-03-24,Nagpur,22.2,66.2,6.5,0.0,Cloudy,71
2024-03-13,Surat,18.8,46.4,13.2,0.0,Rainy,30
2020-03-17,Surat,30.8,36.4,10.7,2.79,Foggy,124
2020-08-07,Ahmedabad,21.1,83.5,14.9,0.0,Rainy,44
2022-07-19,Hyderabad,29.5,50.7,15.0,0.0,Foggy,83
2022-10-08,Pune,22.3,51.4,5.1,0.0,Cloudy,25
2022-10-29,Nagpur,12.5,38.9,23.2,0.0,Cloudy,123
2020-08-18,Indore,34.3,53.6,7.7,0.0,Hazy,185
2023-08-20,Lucknow,26.9,40.9,13.2,1.77,Cloudy,162
2024-02-17,Mumbai,21.3,35.4,13.0,0.0,Rainy,88
2023-10-13,Ahmedabad,18.5,77.9,16.0,0.0,Cloudy,95
2024-10-19,Ahmedabad,26.6,20.0,15.6,0.0,Stormy,139
2022-05-25,Nagpur,29.3,35.0,1.8,0.0,Sunny,201
2023-10-02,Jaipur,20.0,62.7,5.2,3.78,Cloudy,10
2021-10-24,Lucknow,27.8,88.5,4.6,0.0,Sunny,73
2022-02-24,Hyderabad,24.6,37.6,7.5,0.98,Rainy,19
2021-09-10,Kolkata,27.2,66.0,4.9,0.0,Foggy,164
