Employee_ID,Name,Age,Department,Designation,Salary,Experience_Years,City,Rating,Joining_Date
EMP_0025,Employee_25,36.0,Product,Senior,781389.0,26.0,Chennai,3.01,2020-01-28
EMP_0026,Employee_26,24.0,Operations,Mid,384065.0,17.0,Delhi,4.51,2023-03-21
EMP_0027,Employee_27,28.0,Product,Junior,627087.0,20.0,Delhi,4.81,2016-03-28
EMP_0028,Employee_28,42.0,Engineering,Mid,621785.0,27.0,Hyderabad,4.02,2010-02-23
EMP_0029,Employee_29,30.0,Marketing,Junior,507114.0,2.0,Kolkata,2.78,2013-07-31
EMP_0030,Employee_30,39.0,Engineering,Junior,646967.0,21.0,Kolkata,3.37,2019-06-25
EMP_0031,Employee_31,25.0,HR,Senior,830941.0,7.0,Hyderabad,3.8,2017-08-19
EMP_0032,Employee_32,46.0,Design,Mid,495577.0,22.0,Mumbai,1.78,2016-03-26
EMP_0033,Employee_33,35.0,Sales,Senior,744278.0,2.0,Kolkata,2.79,2013-06-27
EMP_0034,Employee_34,30.0,Marketing,Manager,430886.0,7.0,,4.32,2014-10-30
EMP_0035,Employee_35,,Engineering,Mid,916416.0,17.0,Delhi,3.62,2017-07-20
EMP_0036,Employee_36,23.0,Finance,Senior,717690.0,9.0,Kolkata,2.64,2012-04-17
EMP_0037,Employee_37,41.0,Marketing,Junior,,,Delhi,3.65,2012-01-30
EMP_0038,Employee_38,49.0,Design,Senior,700809.0,19.0,Hyderabad,1.47,2018-07-10
EMP_0039,Employee_39,28.0,Product,Mid,658591.0,16.0,Pune,2.61,2012-03-03
EMP_0040,Employee_40,29.0,Marketing,Director,718939.0,7.0,Pune,,2018-01-19
EMP_0041,Employee_41,35.0,Product,Lead,579532.0,22.0,Chennai,1.88,2017-09-18
EMP_0042,Employee_42,38.0,Design,Mid,357324.0,10.0,Ahmedabad,1.74,2023-07-17
EMP_0043,Employee_43,25.0,Engineering,Junior,667109.0,28.0,Ahmedabad,4.8,2015-12-07
EMP_0044,Employee_44,23.0,Design,Manager,486674.0,4.0,Pune,,2010-12-22
EMP_0045,Employee_45,27.0,Marketing,Lead,434750.0,25.0,Bangalore,2.04,2020-04-21
EMP_0046,Employee_46,25.0,Finance,Junior,695443.0,12.0,Hyderabad,4.88,2022-01-10
EMP_0047,Employee_47,,Operations,Mid,558133.0,,Delhi,3.94,2012-10-19
EMP_0048,Employee_48,39.0,Marketing,Lead,754155.0,22.0,Kolkata,3.8,2018-06-28
EMP_0049,Employee_49,47.0,Design,Junior,481658.0,4.0,Pune,4.41,2011-10-08
EMP_0050,Employee_50,31.0,Operations,Manager,529375.0,23.0,Hyderabad,1.46,2022-05-20
EMP_0051,Employee_51,35.0,Design,Mid,772544.0,26.0,Pune,3.82,2016-07-29
EMP_0052,Employee_52,52.0,Finance,Junior,,12.0,Mumbai,3.01,2018-02-10
EMP_0053,Employee_53,36.0,Design,Lead,378400.0,5.0,,4.32,2022-12-13
EMP_0054,Employee_54,29.0,Engineering,Mid,638664.0,28.0,,3.03,2014-04-25
EMP_0055,Employee_55,35.0,Sales,Mid,822185.0,4.0,Delhi,3.48,2011-07-24
EMP_0056,Employee_56,44.0,Product,Junior,528213.0,8.0,Hyderabad,2.91,2011-01-11
EMP_0057,Employee_57,42.0,Product,Junior,689708.0,26.0,Chennai,2.91,2015-02-10
EMP_0058,Employee_58,37.0,Marketing,Senior,472591.0,15.0,Pune,4.07,2016-06-28
EMP_0059,Employee_59,39.0,Sales,Mid,579482.0,1.0,Pune,3.51,2011-10-16
EMP_0060,Employee_60,,Design,Senior,763475.0,0.0,Bangalore,3.53,2015-03-23
EMP_0061,Employee_61,47.0,Finance,Lead,632884.0,7.0,Kolkata,2.8,2012-04-07
EMP_0062,Employee_62,46.0,Marketing,Senior,793390.0,27.0,Mumbai,3.12,2018-07-11
EMP_0063,Employee_63,50.0,Design,Junior,663795.0,18.0,Pune,3.98,2016-03-27
EMP_0064,Employee_64,36.0,Operations,Mid,932810.0,29.0,Hyderabad,4.3,2020-03-03
EMP_0065,Employee_65,22.0,HR,Manager,365262.0,10.0,Chennai,3.79,2018-03-08
EMP_0066,Employee_66,46.0,Design,Lead,,27.0,Kolkata,4.7,2013-08-25
EMP_0067,Employee_67,28.0,Sales,Senior,437319.0,11.0,Hyderabad,4.28,2018-04-21
EMP_0068,Employee_68,30.0,Marketing,Mid,447562.0,11.0,Mumbai,3.25,2017-12-20
EMP_0069,Employee_69,45.0,Sales,Mid,448922.0,6.0,Bangalore,3.69,2014-09-13
EMP_0070,Employee_70,22.0,Marketing,Senior,625158.0,25.0,Pune,4.71,2015-12-28
EMP_0071,Employee_71,29.0,Design,Manager,633945.0,12.0,Hyderabad,3.48,2011-08-08
EMP_0072,Employee_72,45.0,Engineering,Senior,664118.0,26.0,,4.3,2023-08-31
EMP_0073,Employee_73,32.0,Operations,Lead,431540.0,7.0,Delhi,3.76,2013-11-02
EMP_0074,Employee_74,38.0,Design,Lead,551366.0,28.0,Chennai,3.21,2021-12-24
EMP_0075,Employee_75,29.0,Product,Junior,455355.0,28.0,Kolkata,1.97,2015-06-29
EMP_0076,Employee_76,54.0,Sales,Mid,740382.0,21.0,Hyderabad,2.7,2013-08-31
EMP_0077,Employee_77,26.0,HR,Junior,469459.0,27.0,Chennai,4.87,2020-05-14
EMP_0078,Employee_78,49.0,HR,Junior,567943.0,25.0,Pune,3.63,2018-07-06
EMP_0079,Employee_79,28.0,Finance,Manager,684045.0,29.0,Delhi,3.26,2016-01-21
EMP_0080,Employee_80,30.0,Marketing,Mid,,8.0,Bangalore,4.73,2022-06-29
EMP_0081,Employee_81,,Sales,Mid,704081.0,6.0,Kolkata,3.35,2014-12-05
EMP_0082,Employee_82,33.0,Finance,Junior,839411.0,25.0,Bangalore,3.1,2017-04-10
EMP_0083,Employee_83,54.0,Sales,Mid,628456.0,20.0,Delhi,4.04,2011-04-04
EMP_0084,Employee_84,44.0,,Junior,735241.0,23.0,Chennai,3.85,2015-02-20
EMP_0085,Employee_85,45.0,,Junior,288986.0,14.0,Pune,1.77,2010-09-20
EMP_0086,Employee_86,43.0,Design,Senior,535642.0,1.0,Hyderabad,2.89,2017-01-28
EMP_0087,Employee_87,48.0,Design,Mid,627735.0,22.0,Delhi,2.89,2018-12-31
EMP_0088,Employee_88,22.0,HR,Senior,442055.0,19.0,Mumbai,2.51,2016-01-03
EMP_0089,Employee_89,35.0,,Junior,631147.0,24.0,Chennai,3.07,2011-06-27
EMP_0090,Employee_90,24.0,Design,Junior,758991.0,,Bangalore,2.65,2014-09-25
EMP_0091,Employee_91,22.0,Product,Mid,318065.0,0.0,Kolkata,1.8,2022-09-21
EMP_0092,Employee_92,26.0,Engineering,Senior,421639.0,22.0,Delhi,2.65,2017-01-21
EMP_0093,Employee_93,47.0,HR,Senior,627721.0,21.0,Bangalore,1.29,2014-10-08
EMP_0094,Employee_94,,Finance,Mid,669062.0,7.0,Chennai,3.3,2021-03-13
EMP_0095,Employee_95,48.0,Operations,Mid,710712.0,4.0,Bangalore,4.41,2018-11-16
EMP_0096,Employee_96,30.0,Engineering,Senior,616633.0,14.0,Delhi,3.9,2020-04-16
EMP_0097,Employee_97,36.0,Finance,Junior,669226.0,0.0,Chennai,2.44,2013-03-16
EMP_0098,Employee_98,36.0,Marketing,Mid,735522.0,0.0,Mumbai,1.35,2015-12-10
EMP_0099,Employee_99,47.0,Engineering,Lead,537831.0,24.0,Delhi,1.81,2013-02-17
EMP_0100,Employee_100,34.0,Product,Senior,508712.0,9.0,Hyderabad,3.18,2015-07-14
EMP_0101,Employee_101,53.0,Finance,Mid,574724.0,21.0,Ahmedabad,1.83,2022-08-04
EMP_0102,Employee_102,53.0,Marketing,Manager,629923.0,9.0,Pune,3.18,2022-02-02
EMP_0103,Employee_103,25.0,HR,Lead,501258.0,20.0,Delhi,1.93,2015-11-23
EMP_0104,Employee_104,51.0,Operations,Mid,540936.0,14.0,Chennai,4.4,2023-02-10
EMP_0105,Employee_105,44.0,Marketing,Senior,659655.0,16.0,Kolkata,2.59,2019-08-11
EMP_0106,Employee_106,36.0,Design,Senior,623662.0,21.0,Pune,1.98,2023-02-02
EMP_0107,Employee_107,50.0,Sales,Mid,572199.0,,Delhi,4.25,2018-12-16
EMP_0108,Employee_108,34.0,Marketing,Mid,338839.0,2.0,Mumbai,2.37,2018-02-13
EMP_0109,Employee_109,53.0,Marketing,Mid,,12.0,Kolkata,1.45,2014-12-02
EMP_0110,Employee_110,28.0,Operations,Senior,454499.0,15.0,Mumbai,3.28,2013-02-07
EMP_0111,Employee_111,43.0,Sales,Mid,747462.0,7.0,Hyderabad,3.33,2021-06-06
EMP_0112,Employee_112,49.0,Design,Lead,553691.0,29.0,Kolkata,3.86,2021-01-25
EMP_0113,Employee_113,23.0,Finance,Senior,450565.0,14.0,Bangalore,1.96,2012-01-15
EMP_0114,Employee_114,27.0,Finance,Junior,590768.0,16.0,Ahmedabad,2.78,2011-01-21
EMP_0115,Employee_115,49.0,Marketing,Senior,790604.0,16.0,,2.13,2012-06-17
EMP_0116,Employee_116,49.0,Product,Mid,694622.0,,Pune,1.32,2013-06-06
EMP_0117,Employee_117,41.0,Product,Senior,632987.0,25.0,Kolkata,4.51,2013-08-03
EMP_0118,Employee_118,51.0,Sales,Senior,401085.0,,Chennai,3.92,2019-06-21
EMP_0119,Employee_119,32.0,Sales,Junior,843240.0,16.0,Ahmedabad,2.21,2023-05-18
EMP_0120,Employee_120,,Design,Mid,506755.0,5.0,Chennai,3.4,2011-06-05
EMP_0121,Employee_121,46.0,Operations,Junior,740067.0,16.0,Bangalore,1.81,2018-08-19
EMP_0122,Employee_122,54.0,HR,Junior,551195.0,15.0,Kolkata,4.56,2018-07-24
EMP_0123,Employee_123,22.0,Finance,Mid,725626.0,13.0,Mumbai,1.46,2023-05-14
EMP_0124,Employee_124,48.0,Operations,Mid,796031.0,12.0,Mumbai,1.02,2020-07-01
EMP_0125,Employee_125,34.0,Engineering,Director,697220.0,5.0,Delhi,3.01,2021-11-13
EMP_0126,Employee_126,24.0,Finance,Mid,713378.0,2.0,,3.33,2015-08-22
EMP_0127,Employee_127,27.0,Operations,Mid,,13.0,Pune,,2022-05-30
EMP_0128,Employee_128,29.0,Finance,Senior,534905.0,13.0,Ahmedabad,1.22,2010-04-05
EMP_0129,Employee_129,48.0,HR,Junior,620744.0,14.0,Hyderabad,2.26,2012-07-27
EMP_0130,Employee_130,30.0,Engineering,Director,549012.0,,Kolkata,3.0,2022-01-16
EMP_0131,Employee_131,54.0,Product,Senior,970080.0,28.0,Hyderabad,1.87,2015-12-26
EMP_0132,Employee_132,,Product,Lead,451146.0,14.0,Delhi,4.49,2017-08-18
EMP_0133,Employee_133,36.0,HR,Junior,750312.0,21.0,Hyderabad,1.35,2012-07-02
EMP_0134,Employee_134,53.0,Design,Mid,677579.0,28.0,Ahmedabad,2.95,2016-08-01
EMP_0135,Employee_135,53.0,Engineering,Mid,634480.0,26.0,Bangalore,,2019-10-02
EMP_0136,Employee_136,,Marketing,Lead,821982.0,12.0,Delhi,2.05,2013-07-19
EMP_0137,Employee_137,33.0,Operations,Junior,644756.0,16.0,Bangalore,3.5,2020-03-05
EMP_0138,Employee_138,23.0,Engineering,Mid,,20.0,Kolkata,4.32,2010-01-27
EMP_0139,Employee_139,24.0,Design,Director,643759.0,23.0,Delhi,1.76,2015-11-28
EMP_0140,Employee_140,38.0,,Mid,572523.0,2.0,Kolkata,4.67,2021-03-24
EMP_0141,Employee_141,23.0,HR,Mid,675492.0,27.0,Kolkata,3.21,2014-01-03
EMP_0142,Employee_142,23.0,Finance,Junior,721961.0,5.0,Hyderabad,2.2,2021-05-21
EMP_0143,Employee_143,49.0,Engineering,Director,471136.0,4.0,Bangalore,2.72,2012-05-21
EMP_0144,Employee_144,,Operations,Junior,,21.0,Kolkata,,2016-09-10
EMP_0145,Employee_145,53.0,Engineering,Senior,561765.0,25.0,Bangalore,3.9,2021-05-21
EMP_0146,Employee_146,54.0,Sales,Lead,666542.0,16.0,Bangalore,4.19,2023-08-29
EMP_0147,Employee_147,22.0,,Junior,692554.0,22.0,Delhi,4.33,2014-06-18
EMP_0148,Employee_148,40.0,Operations,Senior,655108.0,24.0,Chennai,4.94,2013-06-06
EMP_0149,Employee_149,23.0,Product,Junior,583633.0,1.0,Hyderabad,4.17,2018-05-22
EMP_0150,Employee_150,47.0,Operations,Mid,526710.0,25.0,Kolkata,3.41,2013-08-16
EMP_0151,Employee_151,53.0,Marketing,Lead,559650.0,14.0,Bangalore,2.36,2022-02-05
EMP_0152,Employee_152,27.0,HR,Manager,834775.0,4.0,Pune,3.18,2021-11-23
EMP_0153,Employee_153,53.0,Marketing,Senior,470120.0,25.0,Chennai,1.16,2010-01-05
EMP_0154,Employee_154,25.0,Operations,Mid,492113.0,19.0,Kolkata,3.98,2023-06-08
EMP_0155,Employee_155,32.0,Finance,Junior,485527.0,5.0,Pune,2.78,2017-04-09
EMP_0156,Employee_156,38.0,Engineering,Junior,620363.0,5.0,Hyderabad,1.08,2020-12-16
EMP_0157,Employee_157,45.0,Product,Junior,371294.0,26.0,Hyderabad,1.25,2010-06-09
EMP_0158,Employee_158,,Engineering,Junior,396966.0,17.0,Bangalore,,2012-07-05
EMP_0159,Employee_159,27.0,Finance,Mid,560856.0,17.0,Bangalore,3.33,2018-02-21
EMP_0160,Employee_160,43.0,Operations,Mid,406833.0,,Ahmedabad,2.86,2016-11-24
EMP_0161,Employee_161,32.0,Design,Mid,419059.0,16.0,Ahmedabad,3.48,2015-05-16
EMP_0162,Employee_162,37.0,Engineering,Junior,407959.0,24.0,Kolkata,2.92,2011-04-20
EMP_0163,Employee_163,54.0,Design,Mid,473008.0,13.0,Delhi,3.65,2015-05-28
EMP_0164,Employee_164,30.0,Engineering,Lead,709686.0,13.0,Chennai,1.88,2022-09-22
EMP_0165,Employee_165,27.0,Engineering,Mid,743356.0,12.0,Kolkata,1.45,2011-10-08
EMP_0166,Employee_166,37.0,Product,Manager,887850.0,6.0,Chennai,3.39,2011-12-03
EMP_0167,Employee_167,50.0,HR,Manager,882354.0,11.0,Bangalore,2.94,2020-11-25
EMP_0168,Employee_168,,HR,Junior,717946.0,22.0,,1.11,2011-07-21
EMP_0169,Employee_169,41.0,Sales,Lead,754151.0,14.0,Bangalore,2.52,2021-12-12
EMP_0170,Employee_170,40.0,Marketing,Senior,,18.0,Hyderabad,1.42,2012-10-27
EMP_0171,Employee_171,47.0,Finance,Senior,677979.0,10.0,Ahmedabad,3.13,2012-11-17
EMP_0172,Employee_172,24.0,Finance,Mid,891540.0,14.0,Kolkata,2.58,2020-08-29
EMP_0173,Employee_173,40.0,Finance,Mid,655681.0,11.0,Ahmedabad,3.45,2022-05-01
EMP_0174,Employee_174,41.0,Sales,Mid,772985.0,2.0,Hyderabad,4.22,2013-09-14
EMP_0175,Employee_175,53.0,HR,Mid,459847.0,16.0,Bangalore,2.2,2015-12-12
EMP_0176,Employee_176,28.0,Operations,Senior,500064.0,2.0,Ahmedabad,4.85,2021-11-01
EMP_0177,Employee_177,54.0,Design,Senior,,18.0,Mumbai,3.14,2023-08-10
EMP_0178,Employee_178,39.0,Product,Mid,,19.0,Chennai,3.47,2019-06-29
EMP_0179,Employee_179,22.0,Design,Senior,507009.0,3.0,Pune,,2014-10-02
EMP_0180,Employee_180,32.0,Operations,Junior,961106.0,2.0,Hyderabad,3.67,2022-02-04
EMP_0181,Employee_181,49.0,Product,Junior,625889.0,25.0,Hyderabad,3.04,2014-07-06
EMP_0182,Employee_182,46.0,Sales,Lead,,15.0,Mumbai,2.72,2016-12-28
EMP_0183,Employee_183,44.0,Operations,Mid,622742.0,11.0,Kolkata,1.22,2018-12-13
EMP_0184,Employee_184,52.0,Finance,Junior,603814.0,7.0,Kolkata,1.09,2018-05-18
EMP_0185,Employee_185,51.0,Marketing,Junior,628170.0,23.0,Kolkata,2.43,2019-10-29
EMP_0186,Employee_186,28.0,Engineering,Junior,360942.0,28.0,Pune,2.33,2021-08-10
EMP_0187,Employee_187,37.0,Design,Director,793792.0,28.0,Delhi,2.55,2020-02-16
EMP_0188,Employee_188,47.0,HR,Senior,802324.0,16.0,Mumbai,1.55,2012-09-18
EMP_0189,Employee_189,23.0,HR,Manager,820548.0,6.0,Pune,3.95,2015-07-24
EMP_0190,Employee_190,22.0,Sales,Senior,648814.0,10.0,Ahmedabad,4.43,2015-01-15
EMP_0191,Employee_191,,,Mid,699372.0,17.0,Mumbai,4.75,2011-06-09
EMP_0192,Employee_192,,HR,Mid,470065.0,0.0,Hyderabad,2.97,2017-08-01
EMP_0193,Employee_193,53.0,Finance,Senior,724934.0,2.0,Chennai,3.8,2010-06-22
EMP_0194,Employee_194,30.0,Design,Junior,637768.0,3.0,Mumbai,4.42,2023-03-13
EMP_0195,Employee_195,40.0,Operations,Manager,530939.0,12.0,Delhi,2.67,2022-06-04
EMP_0196,Employee_196,37.0,Finance,Lead,729711.0,5.0,Bangalore,2.24,2015-03-01
EMP_0197,Employee_197,24.0,Sales,Mid,735517.0,25.0,Ahmedabad,4.75,2023-03-14
EMP_0198,Employee_198,41.0,Finance,Director,609091.0,13.0,Pune,3.06,2014-12-10
EMP_0199,Employee_199,45.0,Operations,Lead,665757.0,4.0,Ahmedabad,2.99,2010-02-28
EMP_0200,Employee_200,54.0,Marketing,Senior,445242.0,15.0,Ahmedabad,1.71,2011-08-05
EMP_0201,Employee_201,45.0,Sales,Junior,786477.0,14.0,Mumbai,1.43,2011-04-28
EMP_0202,Employee_202,32.0,Marketing,Mid,465178.0,14.0,Mumbai,4.37,2015-02-19
EMP_0203,Employee_203,29.0,Engineering,Mid,494186.0,29.0,Delhi,3.46,2011-07-07
EMP_0204,Employee_204,41.0,Marketing,Junior,609347.0,,Chennai,2.3,2010-09-15
EMP_0205,Employee_205,46.0,Engineering,Junior,767177.0,,Mumbai,1.77,2017-05-30
EMP_0206,Employee_206,46.0,Engineering,Lead,767092.0,26.0,Mumbai,3.22,2011-08-04
EMP_0207,Employee_207,50.0,Marketing,Junior,599276.0,15.0,Chennai,3.34,2021-07-13
EMP_0208,Employee_208,39.0,Sales,Senior,715952.0,27.0,Delhi,1.83,2015-05-04
EMP_0209,Employee_209,39.0,Product,Manager,346641.0,15.0,Pune,4.41,2016-03-31
EMP_0210,Employee_210,23.0,Operations,Manager,492102.0,29.0,Ahmedabad,1.34,2020-11-20
EMP_0211,Employee_211,37.0,Finance,Mid,495157.0,3.0,Pune,2.42,2014-10-22
EMP_0212,Employee_212,54.0,Finance,Manager,787831.0,12.0,Mumbai,3.72,2022-02-04
EMP_0213,Employee_213,25.0,Operations,Junior,698198.0,25.0,Chennai,2.1,2012-12-19
EMP_0214,Employee_214,,Design,Junior,627697.0,27.0,Mumbai,4.31,2022-10-22
EMP_0215,Employee_215,35.0,,Senior,642260.0,12.0,Kolkata,3.96,2022-12-04
EMP_0216,Employee_216,42.0,Engineering,Mid,835250.0,1.0,Bangalore,4.16,2020-08-08
EMP_0217,Employee_217,41.0,Engineering,Mid,574473.0,2.0,Pune,1.48,2015-06-14
EMP_0218,Employee_218,29.0,Sales,Senior,402889.0,21.0,,1.56,2020-08-10
EMP_0219,Employee_219,28.0,,Junior,763079.0,7.0,Hyderabad,2.15,2019-02-17
EMP_0220,Employee_220,24.0,,Junior,627275.0,23.0,Bangalore,3.07,2014-04-09
EMP_0221,Employee_221,38.0,Engineering,Mid,743050.0,14.0,Mumbai,3.99,2012-02-12
EMP_0222,Employee_222,54.0,Finance,Lead,593285.0,10.0,Delhi,4.35,2012-03-05
EMP_0223,Employee_223,33.0,Sales,Senior,474196.0,8.0,Pune,,2019-09-02
EMP_0224,Employee_224,43.0,Marketing,Mid,660423.0,6.0,Hyderabad,4.71,2017-12-12
EMP_0225,Employee_225,43.0,Sales,Mid,601526.0,12.0,Bangalore,3.95,2019-07-02
EMP_0226,Employee_226,,Marketing,Junior,627741.0,1.0,Pune,2.23,2019-03-22
EMP_0227,Employee_227,29.0,Marketing,Junior,842485.0,7.0,Chennai,2.06,2020-06-22
EMP_0228,Employee_228,48.0,Operations,Lead,435194.0,6.0,,3.78,2011-03-20
EMP_0229,Employee_229,48.0,Engineering,Mid,642887.0,23.0,,,2012-03-17
EMP_0230,Employee_230,42.0,Product,Junior,477150.0,11.0,Chennai,1.37,2011-05-12
EMP_0231,Employee_231,51.0,Sales,Senior,,18.0,Kolkata,3.13,2019-01-12
EMP_0232,Employee_232,54.0,Product,Senior,592655.0,6.0,Mumbai,4.29,2017-08-11
EMP_0233,Employee_233,,,Senior,604653.0,9.0,Chennai,1.41,2012-06-14
EMP_0234,Employee_234,54.0,,Junior,693528.0,,Bangalore,4.17,2015-07-30
EMP_0235,Employee_235,26.0,Finance,Junior,567368.0,24.0,Ahmedabad,4.25,2014-04-19
EMP_0236,Employee_236,40.0,Product,Junior,376649.0,15.0,Bangalore,,2014-04-08
EMP_0237,Employee_237,25.0,Finance,Junior,476635.0,2.0,Ahmedabad,1.23,2022-01-11
EMP_0238,Employee_238,38.0,Design,Senior,797543.0,,Kolkata,1.7,2020-01-24
EMP_0239,Employee_239,49.0,Engineering,Lead,474505.0,9.0,Mumbai,3.83,2013-02-22
EMP_0240,Employee_240,51.0,Engineering,Senior,837483.0,5.0,Ahmedabad,3.85,2019-06-19
EMP_0241,Employee_241,50.0,HR,Lead,757497.0,17.0,Ahmedabad,4.59,2014-02-12
EMP_0242,Employee_242,27.0,Operations,Mid,552332.0,17.0,Chennai,3.33,2016-03-31
EMP_0243,Employee_243,45.0,Finance,Senior,490638.0,4.0,Chennai,1.5,2020-05-17
EMP_0244,Employee_244,50.0,Marketing,Mid,757186.0,20.0,Mumbai,1.49,2015-08-09
EMP_0245,Employee_245,,Sales,Mid,563863.0,28.0,Chennai,3.88,2011-09-10
EMP_0246,Employee_246,54.0,Engineering,Mid,368152.0,6.0,,1.74,2019-12-10
EMP_0247,Employee_247,42.0,,Junior,684347.0,27.0,Mumbai,2.31,2022-05-06
EMP_0248,Employee_248,53.0,Sales,Mid,662589.0,1.0,Delhi,2.95,2012-03-13
EMP_0249,Employee_249,44.0,Sales,Director,770655.0,10.0,Ahmedabad,1.1,2011-02-19
EMP_0250,Employee_250,54.0,HR,Junior,652439.0,29.0,Bangalore,2.0,2022-02-15
EMP_0251,Employee_251,24.0,Finance,Junior,517627.0,12.0,Delhi,2.63,2010-05-01
EMP_0252,Employee_252,39.0,Engineering,Mid,790451.0,22.0,,2.12,2012-02-04
EMP_0253,Employee_253,46.0,Sales,Lead,805048.0,4.0,Pune,1.55,2015-04-21
EMP_0254,Employee_254,52.0,Engineering,Senior,634980.0,29.0,Ahmedabad,3.91,2013-09-24
EMP_0255,Employee_255,24.0,Marketing,Senior,609048.0,5.0,Ahmedabad,4.25,2019-02-12
EMP_0256,Employee_256,45.0,HR,Junior,401509.0,23.0,Ahmedabad,2.03,2020-11-22
EMP_0257,Employee_257,53.0,Marketing,Senior,508871.0,25.0,Kolkata,4.1,2020-10-18
EMP_0258,Employee_258,43.0,Engineering,Mid,714115.0,28.0,Pune,2.54,2014-10-18
EMP_0259,Employee_259,44.0,Design,Lead,516407.0,13.0,Hyderabad,3.03,2018-12-30
EMP_0260,Employee_260,23.0,Product,Senior,381474.0,11.0,Hyderabad,4.42,2011-04-26
EMP_0261,Employee_261,48.0,Engineering,Junior,1124381.0,3.0,Hyderabad,4.0,2013-09-10
EMP_0262,Employee_262,23.0,Finance,Junior,380489.0,28.0,Mumbai,4.22,2018-07-02
EMP_0263,Employee_263,47.0,Sales,Junior,938512.0,22.0,Chennai,1.55,2010-01-18
EMP_0264,Employee_264,38.0,Sales,Mid,553886.0,5.0,Pune,1.28,2018-10-04
EMP_0265,Employee_265,54.0,,Mid,587315.0,9.0,Delhi,4.57,2015-12-13
EMP_0266,Employee_266,30.0,Product,Senior,499158.0,17.0,Kolkata,2.55,2020-03-16
EMP_0267,Employee_267,50.0,HR,Mid,717425.0,14.0,Delhi,2.15,2016-05-25
EMP_0268,Employee_268,47.0,Design,Mid,384033.0,7.0,Delhi,,2019-06-28
EMP_0269,Employee_269,46.0,Operations,Junior,323950.0,25.0,Delhi,4.35,2022-06-19
EMP_0270,Employee_270,45.0,Product,Junior,,8.0,Kolkata,4.45,2020-11-30
EMP_0271,Employee_271,34.0,Sales,Manager,479404.0,4.0,Hyderabad,2.26,2013-06-22
EMP_0272,Employee_272,28.0,Finance,Junior,711913.0,9.0,Delhi,4.41,2014-04-05
EMP_0273,Employee_273,41.0,Product,Senior,437181.0,19.0,Kolkata,1.16,2016-08-27
EMP_0274,Employee_274,22.0,Marketing,Lead,706263.0,5.0,Kolkata,1.2,2014-11-19
EMP_0275,Employee_275,29.0,,Senior,852531.0,15.0,Chennai,3.49,2011-04-25
EMP_0276,Employee_276,37.0,,Manager,520931.0,23.0,Kolkata,1.25,2022-12-28
EMP_0277,Employee_277,35.0,Finance,Mid,309983.0,26.0,Hyderabad,2.3,2022-02-28
EMP_0278,Employee_278,33.0,HR,Director,853319.0,2.0,Delhi,3.69,2011-05-15
EMP_0279,Employee_279,44.0,Product,Junior,738936.0,9.0,Kolkata,2.35,2017-01-13
EMP_0280,Employee_280,36.0,Finance,Junior,528964.0,10.0,Mumbai,,2011-04-14
