Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note.1,Amount,Currency,Account.1
1/17/2022 17:00,CUB- online payment,Petty cash,Snacks,,50.0,Expense,,50.0,INR,50.0
1/17/2022 11:30,CUB- online payment,Food,Poha,,25.0,Expense,,25.0,INR,25.0
1/16/2022 20:00,CUB- online payment,Food,Biryani,,180.0,Expense,,180.0,INR,180.0
1/16/2022 15:00,CUB- online payment,Household,Soap,,75.0,Expense,,75.0,INR,75.0
1/15/2022 18:30,CUB- online payment,Food,Ice Cream,,75.0,Expense,,75.0,INR,75.0
1/15/2022 12:00,CUB- online payment,Transportation,Metro,,30.0,Expense,,30.0,INR,30.0
1/14/2022 19:00,CUB- online payment,Food,Omelette,,35.0,Expense,,35.0,INR,35.0
1/14/2022 14:00,CUB- online payment,Beauty,Lotion,,200.0,Expense,,200.0,INR,200.0
1/13/2022 17:30,CUB- online payment,Food,Chole Bhature,,60.0,Expense,,60.0,INR,60.0
1/13/2022 11:00,CUB- online payment,Food,Tea,,20.0,Expense,,20.0,INR,20.0
1/12/2022 20:00,CUB- online payment,Social Life,Game,,200.0,Expense,,200.0,INR,200.0
1/12/2022 15:30,CUB- online payment,Food,Burger,,90.0,Expense,,90.0,INR,90.0
1/11/2022 18:00,CUB- online payment,Food,Dosa,,70.0,Expense,,70.0,INR,70.0
1/11/2022 12:30,CUB- online payment,Household,Detergent,,90.0,Expense,,90.0,INR,90.0
1/10/2022 19:30,CUB- online payment,Food,Pizza,,250.0,Expense,,250.0,INR,250.0
1/10/2022 14:00,CUB- online payment,Transportation,Rickshaw,,30.0,Expense,,30.0,INR,30.0
1/9/2022 17:00,CUB- online payment,Food,Pani Puri,,30.0,Expense,,30.0,INR,30.0
1/9/2022 11:00,CUB- online payment,Education,Notebook,,40.0,Expense,,40.0,INR,40.0
1/8/2022 20:30,CUB- online payment,Food,Chinese,,160.0,Expense,,160.0,INR,160.0
1/8/2022 15:00,CUB- online payment,Petty cash,Transport,,100.0,Expense,,100.0,INR,100.0
1/7/2022 18:00,CUB- online payment,Food,Lunch,,120.0,Expense,,120.0,INR,120.0
1/7/2022 12:00,CUB- online payment,Apparel,Jeans,,800.0,Expense,,800.0,INR,800.0
1/6/2022 19:00,CUB- online payment,Food,Breakfast,,45.0,Expense,,45.0,INR,45.0
1/6/2022 13:30,CUB- online payment,Food,Thali,,100.0,Expense,,100.0,INR,100.0
1/5/2022 17:00,CUB- online payment,Household,Paper,,35.0,Expense,,35.0,INR,35.0
1/5/2022 11:00,CUB- online payment,Food,Vada Pav,,20.0,Expense,,20.0,INR,20.0
1/4/2022 20:00,CUB- online payment,Food,Sandwich,,65.0,Expense,,65.0,INR,65.0
1/4/2022 14:30,CUB- online payment,Transportation,Auto,,45.0,Expense,,45.0,INR,45.0
1/3/2022 18:00,CUB- online payment,Food,Momos,,50.0,Expense,,50.0,INR,50.0
1/3/2022 12:00,CUB- online payment,Gift,New Year Gift,,1000.0,Expense,,1000.0,INR,1000.0
1/2/2022 19:30,CUB- online payment,Food,Biryani,,180.0,Expense,,180.0,INR,180.0
1/2/2022 15:00,CUB- online payment,Beauty,Face Wash,,180.0,Expense,,180.0,INR,180.0
1/1/2022 17:00,CUB- online payment,Social Life,Party,,2000.0,Expense,,2000.0,INR,2000.0
1/1/2022 11:00,CUB- online payment,Food,Chicken,,200.0,Expense,,200.0,INR,200.0
